row_type,factor,horizon,target,n,rank_ic,directional_accuracy,curve_shape_hit_rate,quantile_monotonic,quantile_realized_means,aligned_target,benchmark_model,benchmark_rank_ic,benchmark_delta_ic,tag,decision_target,decision_reason,sign_audit_status,sign_audit_note,decision_rank_ic_3m,decision_rank_ic_6m,decision_benchmark_rank_ic_3m,decision_benchmark_rank_ic_6m,decision_benchmark_delta_3m,decision_benchmark_delta_6m,effective_independent_n,window_caveat
benchmark,benchmark:momentum_3m,3m,10Y,2789,-0.05223218671697328,0.47221226245966297,,False,0.057849|0.046039|0.061436|0.097706|0.005484,False,momentum_3m,-0.05223218671697328,0.0,bar,10Y,phase0_reference_bar,,,,,,,,,44.26984126984127,"Targets use overlapping 63/126-day forward windows sampled daily; effective independent N is roughly n/horizon_days, so IC is a relative ranking metric rather than an absolute significance test."
benchmark,benchmark:momentum_3m,3m,2Y,2789,0.22166279060688232,0.5736823234134099,,False,-0.000789|-0.047742|0.052639|-0.016918|0.377133,False,momentum_3m,0.22166279060688232,0.0,bar,2Y,phase0_reference_bar,,,,,,,,,44.26984126984127,"Targets use overlapping 63/126-day forward windows sampled daily; effective independent N is roughly n/horizon_days, so IC is a relative ranking metric rather than an absolute significance test."
benchmark,benchmark:momentum_3m,3m,2s10s,2789,0.14734450181419018,0.5787020437432772,0.9261384008605235,True,-0.071326|-0.059785|-0.016104|0.023405|0.027957,False,momentum_3m,0.14734450181419018,0.0,bar,2s10s,phase0_reference_bar,,,,,,,,,44.26984126984127,"Targets use overlapping 63/126-day forward windows sampled daily; effective independent N is roughly n/horizon_days, so IC is a relative ranking metric rather than an absolute significance test."
benchmark,benchmark:momentum_3m,3m,30Y,2789,-0.1049854579096364,0.44926496952312656,,False,0.090573|0.009731|0.111077|0.077742|-0.020860,False,momentum_3m,-0.1049854579096364,0.0,bar,30Y,phase0_reference_bar,,,,,,,,,44.26984126984127,"Targets use overlapping 63/126-day forward windows sampled daily; effective independent N is roughly n/horizon_days, so IC is a relative ranking metric rather than an absolute significance test."
benchmark,benchmark:momentum_3m,3m,5Y,2789,0.039941630024607294,0.5012549300824668,,False,0.024928|0.044946|0.078456|-0.001326|0.137097,False,momentum_3m,0.039941630024607294,0.0,bar,5Y,phase0_reference_bar,,,,,,,,,44.26984126984127,"Targets use overlapping 63/126-day forward windows sampled daily; effective independent N is roughly n/horizon_days, so IC is a relative ranking metric rather than an absolute significance test."
benchmark,benchmark:momentum_3m,3m,5s30s,2789,0.11314019752310214,0.5299390462531374,0.8978128361419864,False,-0.047616|-0.031039|0.013178|0.032814|0.016792,False,momentum_3m,0.11314019752310214,0.0,bar,5s30s,phase0_reference_bar,,,,,,,,,44.26984126984127,"Targets use overlapping 63/126-day forward windows sampled daily; effective independent N is roughly n/horizon_days, so IC is a relative ranking metric rather than an absolute significance test."
benchmark,benchmark:momentum_3m,6m,10Y,2726,0.013872937055944971,0.4842259721203228,,False,0.010330|0.087706|0.156000|0.155229|0.094275,False,momentum_3m,0.013872937055944971,0.0,bar,10Y,phase0_reference_bar,,,,,,,,,21.634920634920636,"Targets use overlapping 63/126-day forward windows sampled daily; effective independent N is roughly n/horizon_days, so IC is a relative ranking metric rather than an absolute significance test."
benchmark,benchmark:momentum_3m,6m,2Y,2726,0.24887392529705035,0.5818048422597212,,False,-0.145275|-0.088624|0.252220|0.110183|0.578330,False,momentum_3m,0.24887392529705035,0.0,bar,2Y,phase0_reference_bar,,,,,,,,,21.634920634920636,"Targets use overlapping 63/126-day forward windows sampled daily; effective independent N is roughly n/horizon_days, so IC is a relative ranking metric rather than an absolute significance test."
benchmark,benchmark:momentum_3m,6m,2s10s,2726,0.28690642160872015,0.6382978723404256,0.9042553191489362,False,-0.254542|-0.112239|0.018037|0.126495|0.019706,False,momentum_3m,0.28690642160872015,0.0,bar,2s10s,phase0_reference_bar,,,,,,,,,21.634920634920636,"Targets use overlapping 63/126-day forward windows sampled daily; effective independent N is roughly n/horizon_days, so IC is a relative ranking metric rather than an absolute significance test."
benchmark,benchmark:momentum_3m,6m,30Y,2726,-0.03087174338760357,0.49633162142333087,,False,0.075678|0.034954|0.199835|0.127963|0.055229,False,momentum_3m,-0.03087174338760357,0.0,bar,30Y,phase0_reference_bar,,,,,,,,,21.634920634920636,"Targets use overlapping 63/126-day forward windows sampled daily; effective independent N is roughly n/horizon_days, so IC is a relative ranking metric rather than an absolute significance test."
benchmark,benchmark:momentum_3m,6m,5Y,2726,0.08787808921251757,0.49926632428466616,,False,-0.060128|0.068661|0.186789|0.079009|0.268844,False,momentum_3m,0.08787808921251757,0.0,bar,5Y,phase0_reference_bar,,,,,,,,,21.634920634920636,"Targets use overlapping 63/126-day forward windows sampled daily; effective independent N is roughly n/horizon_days, so IC is a relative ranking metric rather than an absolute significance test."
benchmark,benchmark:momentum_3m,6m,5s30s,2726,0.1570380665735517,0.5418195157740279,0.9020542920029347,False,-0.132308|-0.040330|0.019743|0.078202|0.025670,False,momentum_3m,0.1570380665735517,0.0,bar,5s30s,phase0_reference_bar,,,,,,,,,21.634920634920636,"Targets use overlapping 63/126-day forward windows sampled daily; effective independent N is roughly n/horizon_days, so IC is a relative ranking metric rather than an absolute significance test."
benchmark,benchmark:random_walk,3m,10Y,2789,,0.00968088920760129,,False,,False,momentum_3m,-0.05223218671697328,,bar,10Y,phase0_reference_bar,,,,,,,,,44.26984126984127,"Targets use overlapping 63/126-day forward windows sampled daily; effective independent N is roughly n/horizon_days, so IC is a relative ranking metric rather than an absolute significance test."
benchmark,benchmark:random_walk,3m,2Y,2789,,0.024022947292936535,,False,,False,momentum_3m,0.22166279060688232,,bar,2Y,phase0_reference_bar,,,,,,,,,44.26984126984127,"Targets use overlapping 63/126-day forward windows sampled daily; effective independent N is roughly n/horizon_days, so IC is a relative ranking metric rather than an absolute significance test."
